TRL,TRL,Technology need date (DRM 7),Minimum time to mature technology (DRM 7),Enabling vs Enhancing
2,6,2021,4,Enabling
2,6,2021,4,Enabling
3,9,2021,4,Enabling
3,4,2021,4,Enabling
9,9,2021,4,Enhancing
4,6,2021,4,Enabling
4,6,2021,4,Enabling
5,6,2021,4,Enhancing
2,6,2021,4,Enabling
2,6,2021,4,Enabling
4,6,2021,4,Enhancing
4,6,2021,4,Enabling
9,6,2021,4,Enhancing
4,6,2021,4,Enabling
4,6,2021,4,Enhancing
6,6,2021,4,Enhancing
3,7,2021,4,Enabling
3,7,2021,4,Enhancing
2,8,2021,4,Enhancing
5,8,2021,2,Enhancing
3,7,2021,4,Enabling
2,8,2021,2,Enhancing
2,8,2021,1,Enhancing
3,6,2021,4,Enhancing
1,6,2021,4,Enhancing
9,6,2021,4,Enhancing
3,6,2021,6,Enabling
2,7,2021,6,Enabling
3,6,2021,6,Enabling
2,5,2021,6,Enabling
2,6,2021,6,Enabling
2,5,2021,5,Enhancing
2,5,2021,6,Enhancing
2,6,2021,6,Enabling
2,5,2021,2,Enabling
4,6,2021,5,Enhancing
3,4,2021,4,Enhancing
2,4,2021,4,Enhancing
2,6,2021,6,Enabling
2,2,2021,5,Enabling
2,2,2021,5,Enhancing
2,5,2021,6,Enabling
2,6,2021,5,Enhancing
5,6,2021,4,Enhancing
2,5,2021,5,Enabling
2,5,2021,6,Enabling
2,5,2021,6,Enabling
2,9,2021,6,Enabling
3,6,2021,5,Enabling
3,7,2021,5,Enabling
9,9,2021,6,Enabling
6,9,2021,4,Enabling
0,7,2021,4,Enhancing
4,7,2021,5,Enabling
0,7,2021,5,Enabling
1,7,2021,4,Enabling
3,7,2021,4,Enabling
3,7,2021,5,Enabling
9,9,2021,5,Enabling
3,7,2021,5,Enabling
7,9,2021,5,Enabling
5,7,2021,6,Enabling
5,7,2021,3,Enabling
5,7,2021,3,Enabling
5,7,2021,4,Enabling
1,7,2021,6,Enabling
0,7,2021,7,Enabling
0,7,2021,7,Enabling
0,7,2021,6,Enabling
0,7,2021,6,Enabling
0,7,2021,6,Enabling
0,7,2021,6,Enabling
2,9,2021,3,Enabling
3,7,2021,5,Enabling
5,7,2021,6,Enabling
4,8,2021,5,Enabling
5,7,2021,5,Enabling
5,7,2021,6,Enabling
5,7,2021,5,Enabling
4,7,2021,6,Enabling
2,2,2021,5,Enabling
0,6,2021,6,Enabling
8,8,2021,4,Enabling
4,6,2021,3,Enabling
5,4,2021,5,Enabling
4,6,2021,4,Enabling
3,6,2021,5,Enabling
5,6,2021,3,Enabling
4,6,2021,5,Enabling
5,6,2021,6,Enabling
5,6,2021,6,Enabling
5,6,2021,4,Enabling
2,6,2021,4,Enabling
3,6,2021,4,Enabling
2,6,2021,5,Enabling
6,7,2021,4,Enabling
4,6,2021,4,Enabling
2,5,2021,4,Enabling
5,5,2021,3,Enabling
5,6,2021,6,Enabling
1,9,2021,5,Enabling
4,9,2021,5,Enhancing 
2,9,2021,5,Enhancing 
1,9,2021,5,Enhancing 
1,9,2021,5,Enabling
1,9,2021,6,Enhancing
1,9,2021,6,Enhancing
1,9,2021,6,Enhancing
1,9,2021,6,Enhancing
9,6,2021,5,Enhancing
1,6,2021,5,Enhancing
2,6,2021,6,Enhancing
3,6,2021,6,Enabling
