TRL,TRL,Technology need date (DRM 7),Minimum time to mature technology (DRM 7),Enabling vs Enhancing,TA   
2,6,2021,4,Enabling,6
2,6,2021,4,Enabling,6
3,9,2021,4,Enabling,6
3,4,2021,4,Enabling,6
9,9,2021,4,Enhancing,6
4,6,2021,4,Enabling,6
4,6,2021,4,Enabling,6
5,6,2021,4,Enhancing,6
2,6,2021,4,Enabling,6
2,6,2021,4,Enabling,6
4,6,2021,4,Enhancing,6
4,6,2021,4,Enabling,6
9,6,2021,4,Enhancing,6
4,6,2021,4,Enabling,6
4,6,2021,4,Enhancing,6
6,6,2021,4,Enhancing,6
3,7,2021,4,Enabling,6
3,7,2021,4,Enhancing,6
2,8,2021,4,Enhancing,6
5,8,2021,2,Enhancing,6
3,7,2021,4,Enabling,6
2,8,2021,2,Enhancing,6
2,8,2021,1,Enhancing,6
3,6,2021,4,Enhancing,6
1,6,2021,4,Enhancing,6
9,6,2021,4,Enhancing,6
3,6,2021,6,Enabling,6
2,7,2021,6,Enabling,6
3,6,2021,6,Enabling,6
2,5,2021,6,Enabling,6
2,6,2021,6,Enabling,6
2,5,2021,5,Enhancing,6
2,5,2021,6,Enhancing,6
2,6,2021,6,Enabling,6
2,5,2021,2,Enabling,6
4,6,2021,5,Enhancing,6
3,4,2021,4,Enhancing,6
2,4,2021,4,Enhancing,6
2,6,2021,6,Enabling,6
2,2,2021,5,Enabling,6
2,2,2021,5,Enhancing,6
2,5,2021,6,Enabling,6
2,6,2021,5,Enhancing,6
5,6,2021,4,Enhancing,6
2,5,2021,5,Enabling,6
2,5,2021,6,Enabling,6
2,5,2021,6,Enabling,6
2,9,2021,6,Enabling,6
3,6,2021,5,Enabling,6
3,7,2021,5,Enabling,6
9,9,2021,6,Enabling,6
6,9,2021,4,Enabling,6
0,7,2021,4,Enhancing,6
4,7,2021,5,Enabling,6
0,7,2021,5,Enabling,6
1,7,2021,4,Enabling,6
3,7,2021,4,Enabling,6
3,7,2021,5,Enabling,6
9,9,2021,5,Enabling,6
3,7,2021,5,Enabling,6
7,9,2021,5,Enabling,6
5,7,2021,6,Enabling,6
5,7,2021,3,Enabling,6
5,7,2021,3,Enabling,6
5,7,2021,4,Enabling,6
1,7,2021,6,Enabling,6
0,7,2021,7,Enabling,6
0,7,2021,7,Enabling,6
0,7,2021,6,Enabling,6
0,7,2021,6,Enabling,6
0,7,2021,6,Enabling,6
0,7,2021,6,Enabling,6
2,9,2021,3,Enabling,6
3,7,2021,5,Enabling,6
5,7,2021,6,Enabling,6
4,8,2021,5,Enabling,6
5,7,2021,5,Enabling,6
5,7,2021,6,Enabling,6
5,7,2021,5,Enabling,6
4,7,2021,6,Enabling,6
2,2,2021,5,Enabling,6
0,6,2021,6,Enabling,6
8,8,2021,4,Enabling,6
4,6,2021,3,Enabling,6
5,4,2021,5,Enabling,6
4,6,2021,4,Enabling,6
3,6,2021,5,Enabling,6
5,6,2021,3,Enabling,6
4,6,2021,5,Enabling,6
5,6,2021,6,Enabling,6
5,6,2021,6,Enabling,6
5,6,2021,4,Enabling,6
2,6,2021,4,Enabling,6
3,6,2021,4,Enabling,6
2,6,2021,5,Enabling,6
6,7,2021,4,Enabling,6
4,6,2021,4,Enabling,6
2,5,2021,4,Enabling,6
5,5,2021,3,Enabling,6
5,6,2021,6,Enabling,6
1,9,2021,5,Enabling,6
4,9,2021,5,Enhancing ,6
2,9,2021,5,Enhancing ,6
1,9,2021,5,Enhancing ,6
1,9,2021,5,Enabling,6
1,9,2021,6,Enhancing,6
1,9,2021,6,Enhancing,6
1,9,2021,6,Enhancing,6
1,9,2021,6,Enhancing,6
9,6,2021,5,Enhancing,6
1,6,2021,5,Enhancing,6
2,6,2021,6,Enhancing,6
3,6,2021,6,Enabling,6
2,6,2021,6,Enabling,6
9,6,2021,5,Enabling,6
0,6,2021,5,Enabling,6
0,2,2021,5,Enabling,6
3,6,2021,5,Enabling,6
3,6,2021,5,Enabling,6
3,9,2021,5,Enhancing,6
1,6,2021,5,Enhancing,6
5,9,2021,5,Enhancing,6
8,9,2021,5,Enhancing,6
6,5,2021,5,Enhancing,6
4,7,2021,5,Enhancing,12
2,5,2021,5,Enhancing,12
1,6,2021,5,Enhancing,12
3,6,2021,5,Enhancing,12
2,6,2021,5,Enhancing,12
2,6,2021,5,Enhancing,12
2,6,2021,5,Enhancing,12
4,6,2021,5,Enabling,12
4,6,2021,5,Enabling,12
2,6,2021,5,Enabling,12
4,9,2021,5,Enabling,12
3,9,2021,5,Enabling,12
5,9,2021,5,Enabling,12
2,9,2021,5,Enabling,12
4,6,2021,5,Enabling,12
1,6,2021,5,Enabling,12
3,9,2021,5,Enabling,12
2,9,2021,5,Enabling,12
2,6,2021,5,Enabling,12
2,6,2021,5,Enabling,12
1,6,2021,5,Enabling,12
4,6,2021,5,Enhancing,12
3,6,2021,5,Enhancing,12
2,6,2021,5,Enhancing,12
3,6,2021,5,Enhancing,12
1,5,2021,5,Enabling,12
2,6,2021,5,Enabling,12
2,6,2021,5,Enabling,12
2,6,2021,5,Enabling,12
2,6,2021,5,Enabling,12
2,6,2021,5,Enabling,12
1,6,2021,5,Enabling,12
4,9,2021,5,Enhancing,12
2,6,2021,5,Enhancing,12
2,6,2021,5,Enhancing,12
2,6,2021,5,Enabling,12
2,6,2021,5,Enabling,12
4,6,2021,5,Enabling,12
2,6,2021,5,Enabling,12
2,3,2021,5,Enabling,12
1,6,2021,5,Enabling,12
1,6,2021,5,Enabling,12
3,6,2021,5,Enabling,12
1,6,2021,5,Enabling,12
2,6,2021,5,Enabling,12
4,6,2021,5,Enabling,12
4,6,2021,5,Enabling,12
3,6,2021,5,Enabling,12
4,6,2021,5,Enabling,12
4,6,2021,5,Enabling,12
4,6,2021,5,Enabling,12
9,6,2021,5,Enabling,12
5,6,2021,5,Enabling,12
4,6,2021,5,Enabling,12
2,5,2021,6,Enhancing,8
3,5,2021,6,Enhancing,8
3,5,2021,6,Enhancing,8
7,9,2021,5,Enabling,1
3,9,2021,5,Enabling,1
3,6,2021,5,Enabling,1
2,9,2021,5,Enabling,1
3,9,2021,2,Enabling,1
2,9,2021,5,Enabling,1
2,9,2021,5,Enabling,1
4,7,2021,4,Enhancing,1
3,9,2021,5,Enabling,1
7,9,2021,5,Enabling,1
5,9,2021,5,Enabling,1
7,9,2021,5,Enhancing,1
3,9,2021,5,Enabling,1
3,9,2021,5,Enhancing,1
3,9,2021,5,Enabling,1
3,9,2021,5,Enabling,1
4,7,2021,5,Enhancing,1
4,6,2021,5,Enhancing,1
5,6,2021,3,Enhancing,1
4,6,2021,3,Enhancing,1
4,6,2021,5,Enhancing,1
3,6,2021,5,Enhancing,1
4,6,2021,5,Enabling,4
2,6,2021,5,Enabling,4
2,6,2021,5,Enhancing,4
4,6,2021,5,Enhancing,4
9,6,2021,7,Enhancing,4
4,6,2021,4,Enhancing,4
7,4,2021,5,Enhancing,4
5,6,2021,5,Enabling,4
4,6,2021,6,Enabling,4
6,6,2021,4,Enabling,4
5,6,2021,7,Enhancing,4
4,6,2021,3,Enhancing,4
4,6,2021,2,Enabling,4
9,6,2021,3,Enabling,4
5,6,2021,3,Enhancing,4
3,6,2021,3,Enabling,4
3,5,2021,3,Enhancing,4
3,6,2021,3,Enhancing,4
3,6,2021,3,Enhancing,4
6,6,2021,2,Enabling,4
5,6,2021,4,Enhancing,4
3,6,2021,3,Enhancing,4
4,6,2021,3,Enhancing,4
3,6,2021,5,Enhancing,4
5,6,2021,3,Enhancing,4
6,6,2021,3,Enabling,4
4,9,2021,5,Enabling,4
3,6,2021,3,Enhancing,4
5,9,2021,5,Enhancing,4
4,9,2021,7,Enhancing,4
4,9,2021,5,Enhancing,4
4,9,2021,5,Enhancing,4
5,9,2021,5,Enhancing,4
4,9,2021,3,Enhancing,4
4,9,2021,3,Enhancing,4
4,9,2021,3,Enhancing,4
4,8,2021,3,Enhancing,4
5,9,2021,3,Enhancing,4
5,9,2021,3,Enhancing,4
4,6,2021,7,Enabling,4
4,6,2021,4,Enabling,4
9,9,2021,1,Enabling,4
9,9,2021,3,Enabling,4
4,6,2021,4,Enabling,4
4,6,2021,3,Enabling,4
5,6,2021,3,Enabling,4
4,6,2021,5,Enabling,4
2,6,2021,5,Enabling,4
7,8,2021,5,Enabling,4
7,8,2021,5,Enabling,4
5,8,2021,5,Enabling,4
3,6,2021,4,Enabling,4
3,6,2021,4,Enhancing,4
4,4,2021,3,Enhancing,4
6,7,2021,5,Enhancing,4
5,6,2021,7,Enabling,4
6,9,2021,5,Enhancing,4
9,5,2021,7,Enhancing,4
